Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,73.559998,73.699997,72.529999,72.949997,70.416283,12880400
2019-01-03,72.769997,74.570000,72.709999,73.459999,70.908569,12264300
2019-01-04,73.739998,75.019997,73.300003,74.320000,71.738708,9389000
2019-01-07,74.599998,75.610001,74.400002,75.050003,72.443352,9227900
2019-01-08,75.529999,76.790001,75.330002,76.599998,73.939514,10761000
2019-01-09,76.779999,76.870003,75.760002,76.489998,73.833328,6434200
2019-01-10,76.250000,77.750000,76.080002,77.529999,74.837204,8671800
2019-01-11,77.459999,77.830002,77.099998,77.750000,75.049561,5141900
2019-01-14,77.500000,77.940002,77.180000,77.489998,74.798599,4934500
2019-01-15,77.599998,78.419998,77.570000,78.230003,75.512901,5377200
2019-01-16,78.209999,79.059998,78.099998,78.779999,76.043793,6164000
2019-01-17,78.629997,79.199997,78.470001,79.160004,76.410599,4327000
2019-01-18,79.489998,79.500000,78.820000,79.430000,76.671227,6397100
2019-01-22,79.260002,79.540001,78.580002,79.190002,76.439560,6062600
2019-01-23,79.330002,79.400002,78.680000,79.199997,76.449203,3972000
2019-01-24,78.970001,79.650002,78.690002,79.470001,76.709839,4142500
2019-01-25,79.739998,80.519997,79.589996,80.459999,77.665443,5713400
2019-01-28,80.309998,81.330002,80.059998,81.250000,78.428009,5471200
2019-01-29,81.129997,81.930000,80.970001,81.889999,79.045776,4832200
2019-01-30,81.919998,82.849998,81.830002,82.550003,79.682854,6635900
2019-01-31,82.449997,83.470001,81.779999,83.410004,80.512985,13041700
2019-02-01,83.489998,83.750000,81.720001,82.879997,80.001389,16142500
2019-02-04,82.860001,83.500000,82.199997,83.500000,80.599854,13612800
2019-02-05,83.580002,84.029999,83.059998,83.980003,81.063194,10279100
2019-02-06,83.669998,83.889999,83.160004,83.430000,80.532288,8419900
2019-02-07,83.180000,84.220001,82.910004,84.120003,81.198326,8823200
2019-02-08,83.800003,84.449997,83.650002,84.120003,81.198326,6853900
2019-02-11,84.250000,84.510002,83.959999,84.349998,81.420334,4999200
2019-02-12,84.550003,84.550003,83.510002,83.820000,80.908745,8588900
2019-02-13,83.830002,84.330002,83.519997,84.250000,81.323814,5697000
2019-02-14,84.379997,84.839996,83.989998,84.519997,81.584427,6928100
2019-02-15,84.739998,85.099998,84.540001,85.089996,82.134636,4998600
2019-02-19,84.910004,85.269997,84.750000,85.070000,82.115334,5981200
2019-02-20,85.010002,85.010002,83.980003,84.540001,81.603745,7918900
2019-02-21,84.059998,84.699997,83.779999,84.620003,81.680962,4756900
2019-02-22,84.790001,85.449997,84.519997,85.120003,82.163597,4490300
2019-02-25,85.290001,85.360001,84.370003,84.449997,81.516869,4956800
2019-02-26,84.570000,84.790001,84.050003,84.190002,81.265900,4777100
2019-02-27,83.910004,84.129997,83.150002,83.769997,80.860481,8116400
2019-02-28,83.830002,84.919998,83.519997,83.989998,81.072845,6547100
2019-03-01,83.940002,84.239998,82.820000,83.730003,80.821877,10635700
2019-03-04,84.120003,84.199997,83.180000,84.110001,81.188667,7103600
2019-03-05,84.070000,84.709999,83.900002,84.339996,81.410683,9077500
2019-03-06,84.419998,84.599998,83.849998,83.949997,81.034233,5370800
2019-03-07,84.160004,84.550003,83.550003,83.769997,80.860481,8328500
2019-03-08,83.629997,84.160004,83.489998,83.860001,80.947357,9264800
2019-03-11,84.150002,85.150002,84.010002,85.089996,82.134636,4679300
2019-03-12,85.199997,85.690002,85.110001,85.480003,82.511101,6072500
2019-03-13,85.580002,86.129997,85.580002,85.900002,82.916504,4282900
2019-03-14,85.959999,86.050003,85.620003,86.029999,83.041992,4303200
2019-03-15,86.120003,86.190002,85.610001,85.760002,82.781372,4742200
2019-03-18,85.800003,86.029999,84.919998,85.330002,82.366302,4125300
2019-03-19,85.379997,85.510002,84.809998,85.070000,82.115334,6169200
2019-03-20,85.050003,85.860001,84.440002,85.330002,82.366302,6499300
2019-03-21,85.209999,86.889999,85.199997,86.849998,83.833511,6948200
2019-03-22,86.930000,87.419998,86.199997,86.220001,83.225388,8769700
2019-03-25,86.250000,86.610001,85.750000,86.330002,83.331573,6324300
2019-03-26,86.519997,87.059998,86.430000,87.019997,83.997597,8576400
2019-03-27,87.139999,87.290001,86.220001,86.769997,83.756287,7252600
2019-03-28,86.349998,87.029999,86.099998,86.989998,84.569016,5600000
2019-03-29,87.070000,87.160004,86.570000,86.910004,84.491249,13743500
2019-04-01,87.000000,87.029999,85.910004,86.860001,84.442635,8528500
2019-04-02,86.980003,87.550003,86.220001,87.470001,85.035660,10358100
2019-04-03,87.470001,87.739998,86.779999,87.370003,84.938438,5004200
2019-04-04,87.430000,87.500000,86.800003,87.230003,84.802338,4249100
2019-04-05,87.239998,87.889999,87.099998,87.839996,85.395363,4827100
2019-04-08,87.769997,87.830002,87.070000,87.349998,84.918999,4575500
2019-04-09,87.349998,87.480003,86.739998,86.889999,84.471809,3507600
2019-04-10,87.199997,87.769997,87.019997,87.690002,85.249535,4264500
